network,MarabouSTAnswer,MarabouST,ReluplexAnswer,Reluplex,PlanetAnswer,Planet,MarabouAnswer,Marabou,ReluValAnswer,ReluVal
ACASXU_run2a_1_1_batch_2000.nnet,UNSAT,1339,UNSAT,1992,-,10000,UNSAT,217.1,UNSAT,17
ACASXU_run2a_1_2_batch_2000.nnet,UNSAT,1054,UNSAT,1917,-,10000,UNSAT,166.43,UNSAT,49
ACASXU_run2a_1_3_batch_2000.nnet,UNSAT,962,UNSAT,1961,-,10000,UNSAT,186.97,UNSAT,9
ACASXU_run2a_1_4_batch_2000.nnet,UNSAT,172,UNSAT,203,-,10000,UNSAT,40.76,UNSAT,6
ACASXU_run2a_1_5_batch_2000.nnet,UNSAT,1381,UNSAT,689,-,10000,UNSAT,50.65,UNSAT,9
ACASXU_run2a_1_6_batch_2000.nnet,UNSAT,881,UNSAT,454,-,10000,UNSAT,80.36,UNSAT,2
ACASXU_run2a_1_7_batch_2000.nnet,SAT,9,SAT,3,-,10000,SAT,11.79,SAT,0
ACASXU_run2a_1_8_batch_2000.nnet,SAT,1,SAT,6,-,10000,SAT,1.2,SAT,0
ACASXU_run2a_1_9_batch_2000.nnet,SAT,0,SAT,7,-,10000,SAT,0.88,SAT,0
ACASXU_run2a_2_1_batch_2000.nnet,UNSAT,300,UNSAT,580,-,10000,UNSAT,48.79,UNSAT,40
ACASXU_run2a_2_2_batch_2000.nnet,UNSAT,477,UNSAT,861,-,10000,UNSAT,113.61,UNSAT,80
ACASXU_run2a_2_3_batch_2000.nnet,UNSAT,242,UNSAT,475,-,10000,UNSAT,28.67,UNSAT,41
ACASXU_run2a_2_4_batch_2000.nnet,UNSAT,39,UNSAT,162,-,10000,UNSAT,25.35,UNSAT,5
ACASXU_run2a_2_5_batch_2000.nnet,UNSAT,106,UNSAT,280,-,10000,UNSAT,46.95,UNSAT,11
ACASXU_run2a_2_6_batch_2000.nnet,UNSAT,222,UNSAT,224,-,10000,UNSAT,52.83,UNSAT,10
ACASXU_run2a_2_7_batch_2000.nnet,UNSAT,31,UNSAT,64,-,10000,UNSAT,25.45,UNSAT,0
ACASXU_run2a_2_8_batch_2000.nnet,UNSAT,181,UNSAT,1005,-,10000,UNSAT,45.32,UNSAT,0
ACASXU_run2a_2_9_batch_2000.nnet,UNSAT,11,UNSAT,97,-,10000,UNSAT,10.28,UNSAT,0
ACASXU_run2a_3_1_batch_2000.nnet,UNSAT,324,UNSAT,985,-,10000,UNSAT,93.59,UNSAT,32
ACASXU_run2a_3_2_batch_2000.nnet,UNSAT,128,UNSAT,204,-,10000,UNSAT,45.49,UNSAT,19
ACASXU_run2a_3_3_batch_2000.nnet,UNSAT,25,UNSAT,225,-,10000,UNSAT,22.87,UNSAT,0
ACASXU_run2a_3_4_batch_2000.nnet,UNSAT,18,UNSAT,140,-,10000,UNSAT,16.3,UNSAT,1
ACASXU_run2a_3_5_batch_2000.nnet,UNSAT,169,UNSAT,394,-,10000,UNSAT,31.28,UNSAT,44
ACASXU_run2a_3_6_batch_2000.nnet,UNSAT,52,UNSAT,265,-,10000,UNSAT,30.58,UNSAT,89
ACASXU_run2a_3_7_batch_2000.nnet,UNSAT,45,UNSAT,553,-,10000,UNSAT,22.9,UNSAT,6
ACASXU_run2a_3_8_batch_2000.nnet,UNSAT,149,UNSAT,255,-,10000,UNSAT,51.53,UNSAT,4
ACASXU_run2a_3_9_batch_2000.nnet,UNSAT,372,UNSAT,1136,-,10000,UNSAT,52.21,UNSAT,43
ACASXU_run2a_4_1_batch_2000.nnet,UNSAT,22,UNSAT,89,-,10000,UNSAT,16.55,UNSAT,166
ACASXU_run2a_4_2_batch_2000.nnet,UNSAT,140,UNSAT,479,-,10000,UNSAT,58.7,UNSAT,153
ACASXU_run2a_4_3_batch_2000.nnet,UNSAT,162,UNSAT,479,-,10000,UNSAT,48.38,UNSAT,48
ACASXU_run2a_4_4_batch_2000.nnet,UNSAT,281,UNSAT,419,-,10000,UNSAT,43.98,UNSAT,43
ACASXU_run2a_4_5_batch_2000.nnet,UNSAT,318,UNSAT,472,-,10000,UNSAT,41.89,UNSAT,58
ACASXU_run2a_4_6_batch_2000.nnet,UNSAT,116,UNSAT,328,-,10000,UNSAT,24.8,UNSAT,0
ACASXU_run2a_4_7_batch_2000.nnet,UNSAT,55,UNSAT,87,-,10000,UNSAT,15.88,UNSAT,1
ACASXU_run2a_4_8_batch_2000.nnet,UNSAT,73,UNSAT,356,-,10000,UNSAT,24.62,UNSAT,4
ACASXU_run2a_4_9_batch_2000.nnet,UNSAT,109,UNSAT,755,-,10000,UNSAT,32.91,UNSAT,0
ACASXU_run2a_5_1_batch_2000.nnet,UNSAT,180,UNSAT,917,-,10000,UNSAT,63.95,UNSAT,164
ACASXU_run2a_5_2_batch_2000.nnet,UNSAT,114,UNSAT,409,-,10000,UNSAT,26.16,UNSAT,31
ACASXU_run2a_5_3_batch_2000.nnet,UNSAT,39,UNSAT,243,-,10000,UNSAT,30.31,UNSAT,2
ACASXU_run2a_5_4_batch_2000.nnet,UNSAT,32,UNSAT,280,-,10000,UNSAT,21.22,UNSAT,4
ACASXU_run2a_5_5_batch_2000.nnet,UNSAT,138,UNSAT,211,-,10000,UNSAT,29.1,UNSAT,18
ACASXU_run2a_5_6_batch_2000.nnet,UNSAT,60,UNSAT,314,-,10000,UNSAT,30.64,UNSAT,8
ACASXU_run2a_5_7_batch_2000.nnet,UNSAT,66,UNSAT,73,-,10000,UNSAT,11.8,UNSAT,0
ACASXU_run2a_5_8_batch_2000.nnet,UNSAT,48,UNSAT,216,-,10000,UNSAT,27.56,UNSAT,1
ACASXU_run2a_5_9_batch_2000.nnet,UNSAT,184,UNSAT,220,-,10000,UNSAT,39.19,UNSAT,1
