sat-epsilon,original-prediction,second-best-prediction
0.676546390334754,"[8 9 3 3 3 2]","[4 2 9 0 0 5]"
0.5556971677002023,"[3 2 5 8 2 7]","[9 5 9 3 5 9]"
0.7598205753549807,"[3 6 6 7 3 9]","[9 3 9 2 9 5]"
1.6535710126789298,"[3 7 0 2 3 3]","[9 2 3 3 0 9]"
0.7746973796993568,"[9 6 1 1 3 9]","[2 1 3 4 2 5]"
1.6853958006508167,"[6 7 9 1 3 3]","[9 9 3 4 4 9]"
0.5832242950177734,"[1 5 6 9 1 4]","[4 9 9 2 4 3]"
0.5618145394130661,"[2 7 3 7 6 3]","[0 6 0 2 1 0]"
0.5375890184198875,"[6 8 2 3 6 3]","[9 3 9 0 9 4]"
0.35636263063964907,"[7 1 9 5 0 5]","[3 4 3 2 3 8]"
0.37213738068475594,"[8 8 0 0 9 8]","[3 3 3 5 6 3]"
1.4943624712681753,"[8 4 9 2 8 4]","[3 8 2 9 3 5]"
0.5745223894750217,"[4 0 1 7 2 3]","[5 3 4 9 9 9]"
0.5699864489667349,"[5 0 6 5 0 3]","[2 5 3 9 2 9]"
0.37213738068475594,"[9 1 5 0 8 7]","[3 4 2 3 3 3]"
1.629471330353537,"[2 0 4 9 6 3]","[3 3 3 3 9 9]"
0.6578561234585313,"[5 3 5 5 8 6]","[8 2 9 9 3 9]"
0.5907179395449838,"[7 9 9 8 4 3]","[2 5 2 3 3 2]"
0.822069007334346,"[4 2 4 7 9 3]","[3 5 3 6 2 9]"
0.7066317890793459,"[8 2 5 9 6 0]","[3 0 2 3 0 3]"
1.5043218653625154,"[3 9 8 3 7 4]","[9 2 3 4 3 8]"
0.6039712594838113,"[0 6 3 7 0 2]","[4 9 2 6 2 9]"
0.7488487105100528,"[0 7 1 8 6 3]","[3 3 3 3 1 2]"
1.7354624918196544,"[3 8 1 9 6 4]","[4 5 4 2 1 3]"
1.5160599551721896,"[1 9 6 3 8 0]","[9 6 9 9 3 2]"
0.5674230426063401,"[4 8 5 6 3 0]","[3 3 9 9 9 2]"
0.7112952839652708,"[4 3 5 4 8 1]","[3 9 9 3 3 4]"
1.6327335581877598,"[3 3 8 1 4 9]","[0 4 3 4 8 3]"
0.841296990574734,"[3 2 5 3 4 7]","[2 7 9 9 3 6]"
0.557287170415555,"[1 6 5 0 2 8]","[3 9 9 9 0 3]"
0.5432608374623504,"[3 8 1 8 5 2]","[9 4 4 5 9 3]"
0.5648781747324207,"[9 5 9 1 1 0]","[2 9 3 4 9 3]"
0.7109693089451989,"[8 4 8 3 6 3]","[3 3 4 2 9 0]"
