Number of watermarks,Avrg acc,Min acc,Max acc
0,1.0,1.0,1.0
1,0.945400003194809,0.8199999928474426,1.0
2,0.858200000166893,0.6800000071525574,0.9800000190734863
3,0.7781799994111062,0.5600000023841858,0.9800000190734863
4,0.7043799991309643,0.4699999988079071,0.9300000071525574
5,0.6396699993014335,0.38999998569488525,0.8799999952316284
6,0.5834399981796742,0.30000001192092896,0.8600000143051147
7,0.5202599977850914,0.2199999988079071,0.8899999856948853
25,0.21505000045150519,0.07000000029802322,0.5899999737739563
50,0.157559999730438,0.03999999910593033,0.3400000035762787
75,0.0601099997498095,0.0,0.18000000715255737
100,0.019999999552965164,0.019999999552965164,0.019999999552965164
