sat-epsilon,original-prediction,second-best-prediction
0.3522098092690551,"[1 8]","[3 3]"
0.35445398810823003,"[4 8]","[3 5]"
0.3392970024018312,"[7 8]","[6 4]"
0.5173595405138552,"[9 5]","[3 9]"
0.3473630002962109,"[9 4]","[2 3]"
0.5607394632656145,"[3 0]","[9 3]"
0.3457318150989242,"[8 9]","[3 2]"
0.3605174048593909,"[6 2]","[9 5]"
0.35371840447789904,"[7 8]","[3 3]"
0.35608758062626994,"[4 9]","[3 5]"
0.3780008002960942,"[4 9]","[3 2]"
0.3605174048593909,"[3 6]","[9 9]"
0.5343289582252996,"[8 3]","[3 9]"
0.5367494377171517,"[9 5]","[3 9]"
0.3387355728926428,"[1 5]","[4 2]"
0.5531172810154853,"[9 3]","[5 9]"
0.34267810265979903,"[3 3]","[4 9]"
1.659980510500138,"[9 3]","[3 9]"
0.5689568466457245,"[8 3]","[3 9]"
0.3391848425496776,"[2 2]","[5 3]"
0.34629780466495996,"[2 3]","[9 9]"
0.3371051972866007,"[7 4]","[6 3]"
0.3457318150989242,"[8 9]","[3 2]"
0.37213738068475594,"[8 0]","[3 3]"
0.5765465094156578,"[4 8]","[8 3]"
0.349475568132691,"[4 8]","[3 3]"
0.34387062372572047,"[3 3]","[9 9]"
0.5518174163124304,"[8 3]","[3 9]"
0.3340680163599844,"[5 1]","[9 9]"
0.5227813717707223,"[8 3]","[3 9]"
0.5637174447578506,"[3 4]","[2 3]"
0.3729886590997908,"[4 6]","[8 1]"
0.36658025642455816,"[1 4]","[9 8]"
0.5201618644009451,"[5 9]","[9 2]"
0.5501761666050842,"[9 6]","[3 9]"
0.3605174048593909,"[3 6]","[9 9]"
0.3414072064034218,"[3 3]","[0 9]"
0.32510951691292705,"[5 5]","[9 2]"
0.34822680405836093,"[8 7]","[5 9]"
0.5556688728676122,"[2 3]","[3 9]"
0.3473630002962109,"[4 4]","[3 3]"
0.34629780466495996,"[2 8]","[9 3]"
0.32991489602541296,"[9 8]","[2 5]"
0.33868317610675064,"[2 9]","[5 3]"
0.34822680405836093,"[5 7]","[9 9]"
0.36658025642455816,"[9 4]","[5 8]"
0.33470932246990887,"[8 5]","[3 9]"
0.36506806281441956,"[2 4]","[3 8]"
0.35935178114634325,"[0 5]","[2 8]"
0.5390774244364822,"[9 2]","[2 3]"
0.3451230492594442,"[7 5]","[2 9]"
0.35371840447789904,"[7 8]","[3 3]"
0.5241971352262396,"[5 9]","[9 2]"
0.5491027654618985,"[9 2]","[3 9]"
0.3780008002960942,"[9 4]","[5 3]"
0.35292807396965536,"[2 3]","[7 4]"
0.3522098092690551,"[8 1]","[3 3]"
1.5949382043951699,"[4 8]","[8 4]"
0.3654082142960168,"[3 2]","[9 9]"
0.37807373955592166,"[3 5]","[2 9]"
0.3451885706606417,"[9 8]","[2 3]"
0.3340680163599844,"[1 5]","[9 2]"
0.37635595535292476,"[2 4]","[7 8]"
0.34629780466495996,"[2 1]","[9 9]"
0.3565523072222974,"[6 7]","[0 3]"
0.351184632898948,"[8 6]","[4 3]"
0.351184632898948,"[5 6]","[9 3]"
0.5761801402132894,"[3 1]","[2 3]"
0.35292807396965536,"[2 4]","[7 3]"
1.5160023715167923,"[2 3]","[3 2]"
1.7058998916108654,"[9 3]","[3 9]"
0.3505603873479646,"[3 5]","[2 2]"
0.3565523072222974,"[6 3]","[0 9]"
0.35371840447789904,"[7 9]","[3 3]"
0.5750922582450912,"[3 1]","[0 3]"
0.34679985064472946,"[8 0]","[4 3]"
0.35996031290923025,"[0 0]","[2 2]"
0.36272051568175145,"[0 3]","[2 2]"
0.34338805610356576,"[1 0]","[4 3]"
0.34679985064472946,"[9 0]","[3 3]"
0.35371840447789904,"[8 7]","[3 3]"
0.5528883219292413,"[9 6]","[3 9]"
0.3535228459122408,"[3 6]","[2 9]"
0.567928400219363,"[4 3]","[3 9]"
0.3729886590997908,"[6 3]","[1 9]"
0.3519314536464144,"[6 5]","[9 9]"
0.3401452715941443,"[8 1]","[3 4]"
0.37635595535292476,"[3 4]","[0 8]"
0.3505603873479646,"[3 3]","[2 9]"
0.3605174048593909,"[6 5]","[9 9]"
0.3392970024018312,"[3 8]","[9 4]"
0.3729886590997908,"[0 6]","[3 1]"
0.5901628651276316,"[3 2]","[2 0]"
0.3420344732237498,"[9 8]","[2 3]"
0.5590047475619621,"[8 3]","[3 9]"
0.3654082142960168,"[3 8]","[9 4]"
0.34598109137415245,"[9 5]","[3 2]"
0.35996031290923025,"[0 9]","[2 2]"
0.3558690603885887,"[5 1]","[9 4]"
0.32991489602541296,"[9 8]","[2 3]"
0.3451885706606417,"[9 3]","[2 4]"
0.342634892206433,"[3 7]","[4 6]"
0.3560409031048307,"[8 0]","[3 5]"
0.35962382823117783,"[8 1]","[5 3]"
0.34822680405836093,"[7 1]","[9 4]"
0.37635595535292476,"[4 0]","[8 2]"
0.34427272874699244,"[9 9]","[2 3]"
0.3505603873479646,"[3 3]","[2 0]"
0.3407349822935488,"[9 7]","[3 2]"
0.3473630002962109,"[4 9]","[3 2]"
0.5386759614759997,"[5 0]","[2 5]"
0.34598109137415245,"[9 7]","[3 2]"
0.565125293956461,"[1 4]","[4 8]"
0.5736943057266024,"[9 3]","[3 2]"
0.37807373955592166,"[3 3]","[0 2]"
0.3238935059120893,"[2 8]","[5 3]"
0.35608758062626994,"[9 7]","[5 3]"
0.3756711027240391,"[9 0]","[6 4]"
0.32879218554695305,"[6 5]","[9 9]"
0.5240497721861859,"[9 5]","[2 9]"
0.35636263063964907,"[0 9]","[3 3]"
0.5875835074951656,"[3 4]","[4 5]"
0.34598109137415245,"[9 1]","[3 4]"
0.34387062372572047,"[3 7]","[9 6]"
0.5241971352262396,"[5 9]","[9 2]"
0.36506806281441956,"[9 4]","[5 8]"
0.56014402052688,"[8 4]","[5 8]"
0.34629780466495996,"[2 2]","[9 9]"
0.3440072315941015,"[2 8]","[0 3]"
0.3371051972866007,"[7 1]","[6 4]"
0.33780795605613784,"[5 3]","[9 0]"
0.35962382823117783,"[1 1]","[3 4]"
0.351184632898948,"[8 6]","[3 3]"
0.36658025642455816,"[4 2]","[8 5]"
0.5336303021227661,"[5 8]","[8 3]"
0.35935178114634325,"[8 0]","[3 2]"
0.36272051568175145,"[6 3]","[0 2]"
0.34387062372572047,"[5 3]","[9 9]"
0.5375801675734465,"[3 8]","[9 3]"
0.5526588954289712,"[7 2]","[6 7]"
0.3522098092690551,"[1 8]","[3 4]"
0.35935178114634325,"[0 1]","[2 4]"
0.35033177493367285,"[9 8]","[3 3]"
0.5432608374623504,"[2 3]","[3 9]"
0.5395822013363755,"[9 5]","[3 9]"
0.5679985296047719,"[4 3]","[3 0]"
0.3565523072222974,"[8 6]","[3 0]"
0.34387062372572047,"[7 3]","[2 9]"
0.35996031290923025,"[0 8]","[2 3]"
0.5755802969109317,"[3 0]","[2 3]"
0.32991489602541296,"[9 5]","[2 2]"
0.3558690603885887,"[8 1]","[4 4]"
0.33655088233714453,"[2 5]","[3 9]"
0.5497088937540711,"[3 2]","[4 3]"
0.33439111920579917,"[5 8]","[2 3]"
0.34629780466495996,"[3 2]","[0 9]"
0.3632299580102559,"[3 4]","[9 5]"
0.56014402052688,"[8 4]","[5 8]"
0.34427272874699244,"[9 7]","[3 6]"
0.3535228459122408,"[6 8]","[9 3]"
0.5706696000031035,"[1 3]","[3 0]"
0.5643261841146274,"[2 3]","[3 9]"
0.32700319756458823,"[8 2]","[3 5]"
0.5420034742264486,"[8 3]","[3 9]"
0.3654082142960168,"[3 3]","[9 9]"
0.3558690603885887,"[2 1]","[5 4]"
0.33045443614121217,"[8 2]","[5 5]"
0.5560336584397652,"[3 9]","[9 2]"
0.34822680405836093,"[3 7]","[2 9]"
0.559654494542745,"[3 9]","[9 6]"
0.5588223491485146,"[0 9]","[9 2]"
0.35033177493367285,"[8 2]","[3 0]"
0.3391848425496776,"[1 2]","[9 3]"
0.34440218542373474,"[3 5]","[0 9]"
0.34338805610356576,"[1 0]","[4 3]"
0.37807373955592166,"[6 3]","[9 2]"
0.35445398810823003,"[2 4]","[7 3]"
0.37807373955592166,"[3 3]","[2 9]"
0.37807373955592166,"[3 3]","[2 4]"
0.3403801952746466,"[5 3]","[9 0]"
0.3605174048593909,"[1 6]","[3 9]"
0.35292807396965536,"[1 2]","[4 7]"
0.33622049694618494,"[7 1]","[2 4]"
0.4974783760822974,"[5 8]","[8 3]"
0.3455132118959566,"[9 3]","[5 2]"
0.5382793321497142,"[8 3]","[3 0]"
0.3535228459122408,"[2 6]","[7 9]"
0.33452152779328037,"[2 3]","[9 9]"
0.35608758062626994,"[8 9]","[3 5]"
0.3412811897157431,"[2 8]","[9 4]"
0.3605174048593909,"[6 6]","[9 0]"
0.33773887887544507,"[5 3]","[9 9]"
0.36272051568175145,"[3 5]","[2 9]"
0.349475568132691,"[8 4]","[3 3]"
0.36272051568175145,"[3 6]","[2 9]"
0.35445398810823003,"[4 9]","[3 2]"
0.3338266296947881,"[8 8]","[3 3]"
0.35033177493367285,"[8 9]","[3 2]"
0.5475015790765205,"[9 3]","[2 9]"
0.35636263063964907,"[9 8]","[3 3]"
0.3505603873479646,"[3 3]","[9 2]"
0.3535228459122408,"[6 2]","[9 9]"
0.3432188938381233,"[9 3]","[2 4]"
0.34822680405836093,"[7 3]","[9 0]"
0.5629676325992339,"[3 8]","[2 3]"
0.3432188938381233,"[9 3]","[2 4]"
0.35962382823117783,"[7 1]","[2 3]"
0.3756711027240391,"[1 0]","[3 4]"
0.35371840447789904,"[7 9]","[3 5]"
0.5697480921782975,"[1 3]","[3 0]"
0.35608758062626994,"[1 9]","[4 5]"
0.3756711027240391,"[9 0]","[2 4]"
0.5749895451875859,"[3 9]","[0 3]"
0.3605174048593909,"[7 6]","[2 9]"
0.34599685608639624,"[9 9]","[6 2]"
0.35962382823117783,"[1 7]","[3 3]"
0.34599685608639624,"[9 8]","[6 3]"
0.5594056722821565,"[3 8]","[9 3]"
0.37635595535292476,"[7 4]","[2 8]"
0.3371051972866007,"[7 4]","[6 3]"
0.35445398810823003,"[4 8]","[3 5]"
0.3440072315941015,"[2 3]","[0 0]"
0.3756711027240391,"[5 0]","[2 4]"
0.37213738068475594,"[9 0]","[3 3]"
0.3729886590997908,"[6 3]","[1 4]"
