unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
59.6282958984375,59.637451171875,[3 0 7],[9 2 9]
105.230712890625,105.2398681640625,[2 9 5],[3 2 9]
86.883544921875,86.8927001953125,[5 4 0],[2 8 3]
62.3382568359375,62.347412109375,[3 3 5],[9 2 9]
53.2196044921875,53.228759765625,[4 4 9],[8 8 2]
81.3079833984375,81.317138671875,[2 0 3],[9 2 2]
74.981689453125,74.9908447265625,[8 4 9],[3 5 2]
101.5228271484375,101.531982421875,[2 6 9],[3 9 2]
57.5225830078125,57.53173828125,[3 5 6],[9 9 3]
56.4056396484375,56.414794921875,[8 0 6],[3 3 0]
59.5733642578125,59.58251953125,[4 6 5],[3 9 9]
81.2255859375,81.2347412109375,[3 9 1],[0 3 3]
55.7464599609375,55.755615234375,[1 9 4],[4 3 3]
78.2684326171875,78.277587890625,[6 4 8],[9 8 3]
83.184814453125,83.1939697265625,[6 2 4],[3 0 8]
65.185546875,65.1947021484375,[2 5 6],[9 8 9]
30.9356689453125,30.94482421875,[3 3 3],[9 0 4]
57.0831298828125,57.09228515625,[6 1 3],[0 9 9]
53.3935546875,53.4027099609375,[8 3 3],[5 2 9]
61.8896484375,61.8988037109375,[2 3 5],[5 9 9]
59.3994140625,59.4085693359375,[3 1 9],[2 9 2]
62.109375,62.1185302734375,[3 3 5],[4 2 9]
55.1971435546875,55.206298828125,[9 1 9],[3 4 3]
51.5533447265625,51.5625,[4 4 6],[3 3 9]
63.519287109375,63.5284423828125,[5 0 5],[9 3 9]
51.8829345703125,51.89208984375,[6 3 3],[9 2 9]
89.4744873046875,89.483642578125,[9 5 3],[6 9 0]
84.5489501953125,84.55810546875,[6 2 1],[0 3 4]
51.1322021484375,51.141357421875,[4 9 8],[3 2 3]
62.109375,62.1185302734375,[5 3 5],[9 2 2]
89.8773193359375,89.886474609375,[7 8 5],[2 3 8]
79.6600341796875,79.669189453125,[9 1 7],[2 4 6]
82.80029296875,82.8094482421875,[6 0 3],[9 5 2]
54.0252685546875,54.034423828125,[8 3 1],[3 9 9]
