Number of watermarks,Average change,Minimal change,Maximal change,Average accuracy,Minimal accuracy,Maximal accuracy
0,0.0,0,0,0.9684000015258789,0.9684000015258789,0.9684000015258789
1,0.3421463213921187,0.30060895752219496,0.37807373955592166,0.8743539983034134,0.8574000000953674,0.8848000168800354
2,0.42830825381378473,0.30381658727378363,1.8300877290705393,0.7887690001130104,0.7591999769210815,0.8845999836921692
3,0.5333777863372255,0.3264361925915017,1.7884309643176872,0.7106301994919777,0.6639000177383423,0.8761000037193298
4,0.6845782096297901,0.33045443614121217,1.7941326046371289,0.6440515999794006,0.566100001335144,0.8755999803543091
5,0.7942964428458535,0.33470932246990887,1.8684208575602725,0.5886658012866974,0.47029998898506165,0.7961999773979187
6,0.8931273112726337,0.3451230492594442,1.8300877290705393,0.5343368005752563,0.37880000472068787,0.7847999930381775
7,1.0459460478876317,0.3401452715941443,1.9097977127795702,0.4827401000857353,0.2827000021934509,0.7843999862670898
25,1.8641080773568943,1.4480733378775106,2.089620641730849,0.09487569967843593,0.0027000000700354576,0.4099999964237213
50,2.0452384043041687,1.8954162393261071,2.152104225435611,0.048921800090931354,0.002300000051036477,0.20059999823570251
75,2.1260435984617696,2.0316888988689312,2.1743396805730466,0.0594746000431478,0.00279999990016222,0.1808999925851822
100,2.176319849632837,2.176319849632837,2.176319849632837,0.051100000739097595,0.051100000739097595,0.051100000739097595
