unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
139.599609375,139.6087646484375,[8 3 5 7 2],[3 0 9 6 5]
76.922607421875,76.9317626953125,[3 2 4 9 8],[0 3 3 3 3]
222.0245361328125,222.03369140625,[1 6 9 4 2],[4 9 6 8 7]
84.1644287109375,84.173583984375,[9 7 9 1 1],[2 2 3 4 3]
114.495849609375,114.5050048828125,[7 8 5 6 4],[2 3 9 9 8]
80.8502197265625,80.859375,[8 8 1 4 8],[3 3 9 3 5]
181.0089111328125,181.01806640625,[9 3 3 4 5],[2 0 4 3 9]
91.44287109375,91.4520263671875,[2 5 6 3 6],[7 9 1 9 3]
138.153076171875,138.1622314453125,[3 9 6 1 1],[9 2 0 3 4]
129.8309326171875,129.840087890625,[8 0 7 4 7],[3 4 3 8 2]
87.5701904296875,87.579345703125,[3 3 0 6 1],[9 9 3 9 4]
116.5008544921875,116.510009765625,[2 4 9 0 1],[9 3 5 3 4]
165.3350830078125,165.34423828125,[9 9 2 7 6],[3 2 9 2 0]
199.76806640625,199.7772216796875,[3 1 9 7 1],[9 4 3 2 4]
110.9893798828125,110.99853515625,[6 3 3 1 0],[1 9 2 4 9]
90.8660888671875,90.875244140625,[0 6 4 8 9],[4 0 3 3 3]
118.0023193359375,118.011474609375,[1 3 3 6 5],[3 0 9 3 9]
172.686767578125,172.6959228515625,[1 9 2 3 3],[4 2 9 0 2]
163.421630859375,163.4307861328125,[4 1 6 6 5],[5 4 0 1 8]
173.9776611328125,173.98681640625,[4 5 3 2 0],[5 8 9 3 2]
114.44091796875,114.4500732421875,[2 1 4 0 8],[0 4 3 5 3]
120.8404541015625,120.849609375,[1 7 3 0 5],[4 2 9 5 9]
94.0338134765625,94.04296875,[3 5 1 2 1],[9 9 4 5 3]
96.05712890625,96.0662841796875,[8 6 9 5 3],[3 9 2 9 2]
166.3787841796875,166.387939453125,[4 3 7 9 4],[3 9 6 3 3]
83.111572265625,83.1207275390625,[3 0 3 8 3],[2 9 9 3 9]
59.6282958984375,59.637451171875,[3 8 3 2 1],[9 4 9 9 4]
52.3223876953125,52.33154296875,[8 4 9 8 9],[3 3 3 3 6]
86.1602783203125,86.16943359375,[1 8 8 0 2],[9 3 5 9 7]
202.3406982421875,202.349853515625,[3 3 0 1 5],[2 0 3 4 9]
85.2264404296875,85.235595703125,[3 6 6 3 1],[2 9 9 0 4]
